Deny,test,COMMENT,POSTCOMMENT,SALEOPENEDMINOR
Permit,test,COMMENT,POSTCOMMENT,DEFAULT
Deny,test,COMMENT,POSTCOMMENT,MAINTENANCEDAY
Permit,test,COMMENT,POSTCOMMENT,WORKINGDAY
Deny,test,COMMENT,CONSULT,SALEOPENEDMINOR
Permit,test,COMMENT,CONSULT,DEFAULT
Deny,test,COMMENT,CONSULT,MAINTENANCEDAY
Permit,test,COMMENT,CONSULT,WORKINGDAY
Deny,test,COMMENT,CLOSEMEETING,SALEOPENEDMINOR
Permit,test,COMMENT,CLOSEMEETING,DEFAULT
Deny,test,COMMENT,CLOSEMEETING,MAINTENANCEDAY
Permit,test,COMMENT,CLOSEMEETING,WORKINGDAY
Deny,test,COMMENT,OPENMEETING,SALEOPENEDMINOR
Permit,test,COMMENT,OPENMEETING,DEFAULT
Deny,test,COMMENT,OPENMEETING,MAINTENANCEDAY
Permit,test,COMMENT,OPENMEETING,WORKINGDAY
Deny,test,COMMENT,SETMEETINGMODERATOR,SALEOPENEDMINOR
Permit,test,COMMENT,SETMEETINGMODERATOR,DEFAULT
Deny,test,COMMENT,SETMEETINGMODERATOR,MAINTENANCEDAY
Permit,test,COMMENT,SETMEETINGMODERATOR,WORKINGDAY
Deny,test,COMMENT,SETMEETINGTITLE,SALEOPENEDMINOR
Permit,test,COMMENT,SETMEETINGTITLE,DEFAULT
Deny,test,COMMENT,SETMEETINGTITLE,MAINTENANCEDAY
Permit,test,COMMENT,SETMEETINGTITLE,WORKINGDAY
Deny,test,COMMENT,UPDATEMEETINGINFOS,SALEOPENEDMINOR
Permit,test,COMMENT,UPDATEMEETINGINFOS,DEFAULT
Deny,test,COMMENT,UPDATEMEETINGINFOS,MAINTENANCEDAY
Permit,test,COMMENT,UPDATEMEETINGINFOS,WORKINGDAY
Deny,test,COMMENT,DELETE,SALEOPENEDMINOR
Permit,test,COMMENT,DELETE,DEFAULT
Deny,test,COMMENT,DELETE,MAINTENANCEDAY
Permit,test,COMMENT,DELETE,WORKINGDAY
Deny,test,COMMENT,OVER,SALEOPENEDMINOR
Permit,test,COMMENT,OVER,DEFAULT
Deny,test,COMMENT,OVER,MAINTENANCEDAY
Permit,test,COMMENT,OVER,WORKINGDAY
Deny,test,COMMENT,ASK,SALEOPENEDMINOR
Permit,test,COMMENT,ASK,DEFAULT
Deny,test,COMMENT,ASK,MAINTENANCEDAY
Permit,test,COMMENT,ASK,WORKINGDAY
Deny,test,COMMENT,SPEAK,SALEOPENEDMINOR
Permit,test,COMMENT,SPEAK,DEFAULT
Deny,test,COMMENT,SPEAK,MAINTENANCEDAY
Permit,test,COMMENT,SPEAK,WORKINGDAY
Deny,test,COMMENT,SETMEETINGAGENDA,SALEOPENEDMINOR
Permit,test,COMMENT,SETMEETINGAGENDA,DEFAULT
Deny,test,COMMENT,SETMEETINGAGENDA,MAINTENANCEDAY
Permit,test,COMMENT,SETMEETINGAGENDA,WORKINGDAY
Deny,test,COMMENT,LEAVE,SALEOPENEDMINOR
Permit,test,COMMENT,LEAVE,DEFAULT
Deny,test,COMMENT,LEAVE,MAINTENANCEDAY
Permit,test,COMMENT,LEAVE,WORKINGDAY
Deny,test,COMMENT,HANDOVER,SALEOPENEDMINOR
Permit,test,COMMENT,HANDOVER,DEFAULT
Deny,test,COMMENT,HANDOVER,MAINTENANCEDAY
Permit,test,COMMENT,HANDOVER,WORKINGDAY
Deny,test,COMMENT,UPDATE,SALEOPENEDMINOR
Permit,test,COMMENT,UPDATE,DEFAULT
Deny,test,COMMENT,UPDATE,MAINTENANCEDAY
Permit,test,COMMENT,UPDATE,WORKINGDAY
Deny,test,COMMENT,ATTENDEEACTIVITY,SALEOPENEDMINOR
Permit,test,COMMENT,ATTENDEEACTIVITY,DEFAULT
Deny,test,COMMENT,ATTENDEEACTIVITY,MAINTENANCEDAY
Permit,test,COMMENT,ATTENDEEACTIVITY,WORKINGDAY
Deny,test,PERSONNELACCOUNT,POSTCOMMENT,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,POSTCOMMENT,DEFAULT
Deny,test,PERSONNELACCOUNT,POSTCOMMENT,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,POSTCOMMENT,WORKINGDAY
Deny,test,PERSONNELACCOUNT,CONSULT,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,CONSULT,DEFAULT
Deny,test,PERSONNELACCOUNT,CONSULT,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,CONSULT,WORKINGDAY
Deny,test,PERSONNELACCOUNT,CLOSEMEETING,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,CLOSEMEETING,DEFAULT
Deny,test,PERSONNELACCOUNT,CLOSEMEETING,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,CLOSEMEETING,WORKINGDAY
Deny,test,PERSONNELACCOUNT,OPENMEETING,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,OPENMEETING,DEFAULT
Deny,test,PERSONNELACCOUNT,OPENMEETING,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,OPENMEETING,WORKINGDAY
Deny,test,PERSONNELACCOUNT,SETMEETINGMODERATOR,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,SETMEETINGMODERATOR,DEFAULT
Deny,test,PERSONNELACCOUNT,SETMEETINGMODERATOR,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,SETMEETINGMODERATOR,WORKINGDAY
Deny,test,PERSONNELACCOUNT,SETMEETINGTITLE,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,SETMEETINGTITLE,DEFAULT
Deny,test,PERSONNELACCOUNT,SETMEETINGTITLE,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,SETMEETINGTITLE,WORKINGDAY
Deny,test,PERSONNELACCOUNT,UPDATEMEETINGINFOS,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,UPDATEMEETINGINFOS,DEFAULT
Deny,test,PERSONNELACCOUNT,UPDATEMEETINGINFOS,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,UPDATEMEETINGINFOS,WORKINGDAY
Deny,test,PERSONNELACCOUNT,DELETE,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,DELETE,DEFAULT
Deny,test,PERSONNELACCOUNT,DELETE,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,DELETE,WORKINGDAY
Deny,test,PERSONNELACCOUNT,OVER,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,OVER,DEFAULT
Deny,test,PERSONNELACCOUNT,OVER,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,OVER,WORKINGDAY
Deny,test,PERSONNELACCOUNT,ASK,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,ASK,DEFAULT
Deny,test,PERSONNELACCOUNT,ASK,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,ASK,WORKINGDAY
Deny,test,PERSONNELACCOUNT,SPEAK,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,SPEAK,DEFAULT
Deny,test,PERSONNELACCOUNT,SPEAK,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,SPEAK,WORKINGDAY
Deny,test,PERSONNELACCOUNT,SETMEETINGAGENDA,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,SETMEETINGAGENDA,DEFAULT
Deny,test,PERSONNELACCOUNT,SETMEETINGAGENDA,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,SETMEETINGAGENDA,WORKINGDAY
Deny,test,PERSONNELACCOUNT,LEAVE,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,LEAVE,DEFAULT
Deny,test,PERSONNELACCOUNT,LEAVE,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,LEAVE,WORKINGDAY
Deny,test,PERSONNELACCOUNT,HANDOVER,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,HANDOVER,DEFAULT
Deny,test,PERSONNELACCOUNT,HANDOVER,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,HANDOVER,WORKINGDAY
Deny,test,PERSONNELACCOUNT,UPDATE,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,UPDATE,DEFAULT
Deny,test,PERSONNELACCOUNT,UPDATE,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,UPDATE,WORKINGDAY
Deny,test,PERSONNELACCOUNT,ATTENDEEACTIVITY,SALEOPENEDMINOR
Permit,test,PERSONNELACCOUNT,ATTENDEEACTIVITY,DEFAULT
Deny,test,PERSONNELACCOUNT,ATTENDEEACTIVITY,MAINTENANCEDAY
Permit,test,PERSONNELACCOUNT,ATTENDEEACTIVITY,WORKINGDAY
Deny,test,MEETING,POSTCOMMENT,SALEOPENEDMINOR
Permit,test,MEETING,POSTCOMMENT,DEFAULT
Deny,test,MEETING,POSTCOMMENT,MAINTENANCEDAY
Permit,test,MEETING,POSTCOMMENT,WORKINGDAY
Deny,test,MEETING,CONSULT,SALEOPENEDMINOR
Permit,test,MEETING,CONSULT,DEFAULT
Deny,test,MEETING,CONSULT,MAINTENANCEDAY
Permit,test,MEETING,CONSULT,WORKINGDAY
Deny,test,MEETING,CLOSEMEETING,SALEOPENEDMINOR
Permit,test,MEETING,CLOSEMEETING,DEFAULT
Deny,test,MEETING,CLOSEMEETING,MAINTENANCEDAY
Permit,test,MEETING,CLOSEMEETING,WORKINGDAY
Deny,test,MEETING,OPENMEETING,SALEOPENEDMINOR
Permit,test,MEETING,OPENMEETING,DEFAULT
Deny,test,MEETING,OPENMEETING,MAINTENANCEDAY
Permit,test,MEETING,OPENMEETING,WORKINGDAY
Deny,test,MEETING,SETMEETINGMODERATOR,SALEOPENEDMINOR
Permit,test,MEETING,SETMEETINGMODERATOR,DEFAULT
Deny,test,MEETING,SETMEETINGMODERATOR,MAINTENANCEDAY
Permit,test,MEETING,SETMEETINGMODERATOR,WORKINGDAY
Deny,test,MEETING,SETMEETINGTITLE,SALEOPENEDMINOR
Permit,test,MEETING,SETMEETINGTITLE,DEFAULT
Deny,test,MEETING,SETMEETINGTITLE,MAINTENANCEDAY
Permit,test,MEETING,SETMEETINGTITLE,WORKINGDAY
Deny,test,MEETING,UPDATEMEETINGINFOS,SALEOPENEDMINOR
Permit,test,MEETING,UPDATEMEETINGINFOS,DEFAULT
Deny,test,MEETING,UPDATEMEETINGINFOS,MAINTENANCEDAY
Permit,test,MEETING,UPDATEMEETINGINFOS,WORKINGDAY
Deny,test,MEETING,DELETE,SALEOPENEDMINOR
Permit,test,MEETING,DELETE,DEFAULT
Deny,test,MEETING,DELETE,MAINTENANCEDAY
Permit,test,MEETING,DELETE,WORKINGDAY
Deny,test,MEETING,OVER,SALEOPENEDMINOR
Permit,test,MEETING,OVER,DEFAULT
Deny,test,MEETING,OVER,MAINTENANCEDAY
Permit,test,MEETING,OVER,WORKINGDAY
Deny,test,MEETING,ASK,SALEOPENEDMINOR
Permit,test,MEETING,ASK,DEFAULT
Deny,test,MEETING,ASK,MAINTENANCEDAY
Permit,test,MEETING,ASK,WORKINGDAY
Deny,test,MEETING,SPEAK,SALEOPENEDMINOR
Permit,test,MEETING,SPEAK,DEFAULT
